temp_extruder,temp_bed,max_x,max_y,max_z,max_speed,max_extrusion,fan_speed,num_commands,out_of_bounds_moves,label
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0
200.0,60.0,132.202,220.0,10.0,9000.0,825.864,255.0,29031,0,0
210.0,60.0,218.697,220.0,28.84,9000.0,4165.88667,255.0,58490,0,0
200.0,50.0,176.998,235.0,10.0,9000.0,1729.30746,255.0,45921,1,0
210.0,55.0,196.499,220.0,10.0,9000.0,4158.37526,255.0,267042,0,0
215.0,60.0,229.494,235.0,19.0,9000.0,4141.84746,255.0,38276,57,0
215.0,60.0,185.651,154.248,9.4,7200.0,95.8033,255.0,346933,0,0
210.0,60.0,182.007,220.0,10.0,9000.0,4157.27412,255.0,211320,0,0
200.0,50.0,167.616,235.0,10.0,9000.0,1245.39265,255.0,20264,1,0
200.0,50.0,144.221,235.0,12.8,9000.0,909.20722,255.0,9506,1,0
210.0,55.0,143.718,235.0,12.8,9000.0,783.5961,255.0,10599,1,0
200.0,60.0,207.112,220.0,18.8,9000.0,2344.52435,255.0,82434,0,0
210.0,55.0,222.752,235.0,128.0,9000.0,4162.91425,255.0,509107,83,0
215.0,50.0,227.353,235.0,30.4,9000.0,4163.12329,255.0,193465,205,0
210.0,60.0,211.946,235.0,116.88,9000.0,4162.7405,255.0,601226,1,0
200.0,50.0,225.697,235.0,12.0,9000.0,4170.26882,255.0,18619,136,0
210.0,60.0,217.187,235.0,53.2,9000.0,4162.56783,255.0,738791,1,0
210.0,60.0,177.198,235.0,10.11,9000.0,4152.6121,255.0,249684,1,0
210.0,60.0,198.607,235.0,74.92,9000.0,4163.07031,255.0,365219,1,0
210.0,60.0,174.345,235.0,100.6,9000.0,4164.89522,255.0,858054,1,0
210.0,55.0,223.711,235.0,152.4,9000.0,4159.71333,255.0,942374,87,0
200.0,50.0,136.189,235.0,27.2,9000.0,1787.73907,255.0,68284,1,0
200.0,60.0,129.609,220.0,29.4,9000.0,1219.95206,255.0,49152,0,0
200.0,50.0,136.053,235.0,27.6,9000.0,1186.37848,255.0,52230,1,0
200.0,50.0,170.779,235.0,249.16,9000.0,4164.80041,255.0,443382,1,0
200.0,50.0,161.946,235.0,199.24,9000.0,4159.70027,255.0,398332,1,0
200.0,50.0,181.483,235.0,50.76,9000.0,4162.76498,255.0,440621,1,0
210.0,60.0,142.165,235.0,30.0,9000.0,4157.10165,255.0,164121,1,0
210.0,60.0,143.75,235.0,16.434,9000.0,1424.45118,255.0,41180,1,0
210.0,60.0,134.091,235.0,35.8,9000.0,488.63454,255.0,42753,1,0
210.0,60.0,220.54,235.0,22.8,9000.0,4162.589,255.0,622931,13,0
210.0,60.0,215.952,235.0,123.2,9000.0,4162.60425,255.0,1012033,1,0
210.0,60.0,231.604,235.0,27.96,6000.0,4157.59603,255.0,158350,8096,0
210.0,55.0,160.563,235.0,44.4,9000.0,4157.88804,255.0,505955,1,0
200.0,50.0,173.143,235.0,77.6,9000.0,4158.60227,255.0,218372,1,0
200.0,50.0,188.893,235.0,30.0,9000.0,4157.76268,255.0,178551,1,0
200.0,50.0,182.262,235.0,113.4,9000.0,4162.58533,255.0,311359,1,0
250.0,0.0,165.0,265.0,3.0,21000.0,40.0,255.0,51,8,0
250.0,0.0,120.0,265.0,3.0,21000.0,0.0,255.0,33,3,0
210.0,66.0,187.94,235.0,169.0,9000.0,4162.93586,255.0,826718,1,0
215.0,65.0,108.637,120.0,14.263,7200.0,2053.57971,255.0,41925,0,0
200.0,60.0,136.932,220.0,10.0,9000.0,2004.73806,255.0,52400,0,0
200.0,50.0,219.32,235.0,10.0,9000.0,4163.96225,255.0,44611,1,0
210.0,55.0,205.98,235.0,10.0,9000.0,3769.04854,255.0,33524,1,0
210.0,55.0,205.979,235.0,10.0,9000.0,4159.19006,255.0,55514,1,0
210.0,55.0,162.991,235.0,140.72,9000.0,4162.55241,255.0,1066421,1,0
205.0,60.0,158.992,235.0,12.0,9000.0,4157.59069,255.0,61664,1,0
250.0,30.0,125.495,220.0,10.0,15000.0,2938.26524,0.0,64437,0,0
200.0,50.0,165.731,235.0,62.4,9000.0,4157.97261,255.0,104764,1,0
210.0,60.0,157.05,235.0,28.6,9000.0,4157.79506,255.0,150328,1,0
210.0,60.0,210.929,235.0,114.2,9000.0,4162.62906,255.0,689055,1,0
200.0,60.0,171.502,220.0,14.89,9000.0,4157.23343,255.0,110185,0,0
210.0,60.0,144.248,220.0,11.8,9000.0,4155.58887,255.0,118178,0,0
210.0,55.0,137.341,235.0,45.0,9000.0,4159.20425,255.0,87879,1,0
210.0,55.0,137.341,235.0,45.0,9000.0,4159.20425,255.0,87879,1,0
210.0,50.0,143.5,235.0,45.0,10500.0,4158.66017,255.0,52799,1,0
